step,time,Ua,Ub,Uc,Ia,Ib,Ic
133,0.03325,-85.264,87.8817,-2.61769,-0.344177,0.486185,-0.142008
134,0.0335,-89.1007,83.8671,5.2336,-0.371572,0.475528,-0.103956
135,0.03375,-92.388,79.3353,13.0526,-0.396677,0.46194,-0.0652631
136,0.034,-95.1057,74.3145,20.7912,-0.419335,0.445503,-0.026168
137,0.03425,-97.237,68.8355,28.4015,-0.439409,0.42632,0.0130885
138,0.0345,-98.7688,62.932,35.8368,-0.456773,0.404508,0.0522642
139,0.03475,-99.6917,56.6406,43.0511,-0.471321,0.380203,0.0911178
140,0.035,-100,50,50,-0.482963,0.353553,0.12941
141,0.03525,-99.6917,43.0511,56.6406,-0.491627,0.324724,0.166903
142,0.0355,-98.7688,35.8368,62.932,-0.497261,0.293893,0.203368
143,0.03575,-97.237,28.4015,68.8355,-0.499829,0.261249,0.238579
144,0.036,-95.1057,20.7912,74.3145,-0.499315,0.226995,0.27232
145,0.03625,-92.388,13.0526,79.3353,-0.495722,0.191342,0.304381
146,0.0365,-89.1007,5.2336,83.8671,-0.489074,0.154508,0.334565
147,0.03675,-85.264,-2.61769,87.8817,-0.47941,0.116723,0.362687
148,0.037,-80.9017,-10.4528,91.3545,-0.46679,0.0782172,0.388573
149,0.03725,-76.0406,-18.2236,94.2641,-0.451293,0.0392295,0.412063
150,0.0375,-70.7107,-25.8819,96.5926,-0.433013,-3.36902e-15,0.433013
151,0.03775,-64.9448,-33.3807,98.3255,-0.412063,-0.0392295,0.451293
152,0.038,-58.7785,-40.6737,99.4522,-0.388573,-0.0782172,0.46679
153,0.03825,-52.2499,-47.7159,99.9657,-0.362687,-0.116723,0.47941
154,0.0385,-45.399,-54.4639,99.863,-0.334565,-0.154508,0.489074
155,0.03875,-38.2683,-60.8761,99.1445,-0.304381,-0.191342,0.495722
156,0.039,-30.9017,-66.9131,97.8148,-0.27232,-0.226995,0.499315
157,0.03925,-23.3445,-72.5374,95.882,-0.238579,-0.261249,0.499829
158,0.0395,-15.6434,-77.7146,93.358,-0.203368,-0.293893,0.497261
159,0.03975,-7.84591,-82.4126,90.2585,-0.166903,-0.324724,0.491627
160,0.04,8.39193e-13,-86.6025,86.6025,-0.12941,-0.353553,0.482963
161,0.04025,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,0.471321
162,0.0405,15.6434,-93.358,77.7146,-0.0522642,-0.404508,0.456773
163,0.04075,23.3445,-95.882,72.5374,-0.0130885,-0.42632,0.439409
164,0.041,30.9017,-97.8148,66.9131,0.026168,-0.445503,0.419335
165,0.04125,38.2683,-99.1445,60.8761,0.0652631,-0.46194,0.396677
166,0.0415,45.399,-99.863,54.4639,0.103956,-0.475528,0.371572
167,0.04175,52.2499,-99.9657,47.7159,0.142008,-0.486185,0.344177
168,0.042,58.7785,-99.4522,40.6737,0.179184,-0.493844,0.31466
169,0.04225,64.9448,-98.3255,33.3807,0.215256,-0.498459,0.283203
170,0.0425,70.7107,-96.5926,25.8819,0.25,-0.5,0.25
171,0.04275,76.0406,-94.2641,18.2236,0.283203,-0.498459,0.215256
172,0.043,80.9017,-91.3545,10.4528,0.31466,-0.493844,0.179184
173,0.04325,85.264,-87.8817,2.61769,0.344177,-0.486185,0.142008
174,0.0435,89.1007,-83.8671,-5.2336,0.371572,-0.475528,0.103956
175,0.04375,92.388,-79.3353,-13.0526,0.396677,-0.46194,0.0652631
176,0.044,95.1057,-74.3145,-20.7912,0.419335,-0.445503,0.026168
177,0.04425,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.0130885
178,0.0445,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.0522642
179,0.04475,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.0911178
180,0.045,100,-50,-50,0.482963,-0.353553,-0.12941
181,0.04525,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.166903
182,0.0455,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.203368
183,0.04575,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.238579
184,0.046,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.27232
185,0.04625,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.304381
186,0.0465,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.334565
187,0.04675,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.362687
188,0.047,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.388573
189,0.04725,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.412063
190,0.0475,70.7107,25.8819,-96.5926,0.433013,5.08414e-15,-0.433013
191,0.04775,64.9448,33.3807,-98.3255,0.412063,0.0392295,-0.451293
192,0.048,58.7785,40.6737,-99.4522,0.388573,0.0782172,-0.46679
193,0.04825,52.2499,47.7159,-99.9657,0.362687,0.116723,-0.47941
194,0.0485,45.399,54.4639,-99.863,0.334565,0.154508,-0.489074
195,0.04875,38.2683,60.8761,-99.1445,0.304381,0.191342,-0.495722
196,0.049,30.9017,66.9131,-97.8148,0.27232,0.226995,-0.499315
197,0.04925,23.3445,72.5374,-95.882,0.238579,0.261249,-0.499829
198,0.0495,15.6434,77.7146,-93.358,0.203368,0.293893,-0.497261
199,0.04975,7.84591,82.4126,-90.2585,0.166903,0.324724,-0.491627
200,0.05,-1.18222e-12,86.6025,-86.6025,0.12941,0.353553,-0.482963
201,0.05025,-7.84591,90.2585,-82.4126,0.0911178,0.380203,-0.471321
202,0.0505,-15.6434,93.358,-77.7146,0.0522642,0.404508,-0.456773
203,0.05075,-23.3445,95.882,-72.5374,0.0130885,0.42632,-0.439409
204,0.051,-30.9017,97.8148,-66.9131,-0.026168,0.445503,-0.419335
205,0.05125,-38.2683,99.1445,-60.8761,-0.0652631,0.46194,-0.396677
206,0.0515,-45.399,99.863,-54.4639,-0.103956,0.475528,-0.371572
207,0.05175,-52.2499,99.9657,-47.7159,-0.142008,0.486185,-0.344177
208,0.052,-58.7785,99.4522,-40.6737,-0.179184,0.493844,-0.31466
209,0.05225,-64.9448,98.3255,-33.3807,-0.215256,0.498459,-0.283203
210,0.0525,-70.7107,96.5926,-25.8819,-0.25,0.5,-0.25
211,0.05275,-76.0406,94.2641,-18.2236,-0.283203,0.498459,-0.215256
212,0.053,-80.9017,91.3545,-10.4528,-0.31466,0.493844,-0.179184
213,0.05325,-85.264,87.8817,-2.61769,-0.344177,0.486185,-0.142008
214,0.0535,-89.1007,83.8671,5.2336,-0.371572,0.475528,-0.103956
215,0.05375,-92.388,79.3353,13.0526,-0.396677,0.46194,-0.0652631
216,0.054,-95.1057,74.3145,20.7912,-0.419335,0.445503,-0.026168
217,0.05425,-97.237,68.8355,28.4015,-0.439409,0.42632,0.0130885
218,0.0545,-98.7688,62.932,35.8368,-0.456773,0.404508,0.0522642
219,0.05475,-99.6917,56.6406,43.0511,-0.471321,0.380203,0.0911178
220,0.055,-100,50,50,-0.482963,0.353553,0.12941
221,0.05525,-99.6917,43.0511,56.6406,-0.491627,0.324724,0.166903
222,0.0555,-98.7688,35.8368,62.932,-0.497261,0.293893,0.203368
223,0.05575,-97.237,28.4015,68.8355,-0.499829,0.261249,0.238579
224,0.056,-95.1057,20.7912,74.3145,-0.499315,0.226995,0.27232
225,0.05625,-92.388,13.0526,79.3353,-0.495722,0.191342,0.304381
226,0.0565,-89.1007,5.2336,83.8671,-0.489074,0.154508,0.334565
227,0.05675,-85.264,-2.61769,87.8817,-0.47941,0.116723,0.362687
228,0.057,-80.9017,-10.4528,91.3545,-0.46679,0.0782172,0.388573
229,0.05725,-76.0406,-18.2236,94.2641,-0.451293,0.0392295,0.412063
230,0.0575,-70.7107,-25.8819,96.5926,-0.433013,-6.79927e-15,0.433013
231,0.05775,-64.9448,-33.3807,98.3255,-0.412063,-0.0392295,0.451293
232,0.058,-58.7785,-40.6737,99.4522,-0.388573,-0.0782172,0.46679
233,0.05825,-52.2499,-47.7159,99.9657,-0.362687,-0.116723,0.47941
234,0.0585,-45.399,-54.4639,99.863,-0.334565,-0.154508,0.489074
235,0.05875,-38.2683,-60.8761,99.1445,-0.304381,-0.191342,0.495722
236,0.059,-30.9017,-66.9131,97.8148,-0.27232,-0.226995,0.499315
237,0.05925,-23.3445,-72.5374,95.882,-0.238579,-0.261249,0.499829
238,0.0595,-15.6434,-77.7146,93.358,-0.203368,-0.293893,0.497261
239,0.05975,-7.84591,-82.4126,90.2585,-0.166903,-0.324724,0.491627
240,0.06,1.34761e-12,-86.6025,86.6025,-0.12941,-0.353553,0.482963
241,0.06025,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,0.471321
242,0.0605,15.6434,-93.358,77.7146,-0.0522642,-0.404508,0.456773
243,0.06075,23.3445,-95.882,72.5374,-0.0130885,-0.42632,0.439409
244,0.061,30.9017,-97.8148,66.9131,0.026168,-0.445503,0.419335
245,0.06125,38.2683,-99.1445,60.8761,0.0652631,-0.46194,0.396677
246,0.0615,45.399,-99.863,54.4639,0.103956,-0.475528,0.371572
247,0.06175,52.2499,-99.9657,47.7159,0.142008,-0.486185,0.344177
248,0.062,58.7785,-99.4522,40.6737,0.179184,-0.493844,0.31466
249,0.06225,64.9448,-98.3255,33.3807,0.215256,-0.498459,0.283203
250,0.0625,70.7107,-96.5926,25.8819,0.25,-0.5,0.25
251,0.06275,76.0406,-94.2641,18.2236,0.283203,-0.498459,0.215256
252,0.063,80.9017,-91.3545,10.4528,0.31466,-0.493844,0.179184
253,0.06325,85.264,-87.8817,2.61769,0.344177,-0.486185,0.142008
254,0.0635,89.1007,-83.8671,-5.2336,0.371572,-0.475528,0.103956
255,0.06375,92.388,-79.3353,-13.0526,0.396677,-0.46194,0.0652631
256,0.064,95.1057,-74.3145,-20.7912,0.419335,-0.445503,0.026168
257,0.06425,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.0130885
258,0.0645,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.0522642
259,0.06475,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.0911178
260,0.065,100,-50,-50,0.482963,-0.353553,-0.12941
261,0.06525,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.166903
262,0.0655,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.203368
263,0.06575,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.238579
264,0.066,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.27232
265,0.06625,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.304381
266,0.0665,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.334565
267,0.06675,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.362687
268,0.067,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.388573
269,0.06725,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.412063
270,0.0675,70.7107,25.8819,-96.5926,0.433013,8.51439e-15,-0.433013
271,0.06775,64.9448,33.3807,-98.3255,0.412063,0.0392295,-0.451293
272,0.068,58.7785,40.6737,-99.4522,0.388573,0.0782172,-0.46679
273,0.06825,52.2499,47.7159,-99.9657,0.362687,0.116723,-0.47941
274,0.0685,45.399,54.4639,-99.863,0.334565,0.154508,-0.489074
275,0.06875,38.2683,60.8761,-99.1445,0.304381,0.191342,-0.495722
276,0.069,30.9017,66.9131,-97.8148,0.27232,0.226995,-0.499315
277,0.06925,23.3445,72.5374,-95.882,0.238579,0.261249,-0.499829
278,0.0695,15.6434,77.7146,-93.358,0.203368,0.293893,-0.497261
279,0.06975,7.84591,82.4126,-90.2585,0.166903,0.324724,-0.491627
280,0.07,-1.69063e-12,86.6025,-86.6025,0.12941,0.353553,-0.482963
281,0.07025,-7.84591,90.2585,-82.4126,0.0911178,0.380203,-0.471321
282,0.0705,-15.6434,93.358,-77.7146,0.0522642,0.404508,-0.456773
283,0.07075,-23.3445,95.882,-72.5374,0.0130885,0.42632,-0.439409
284,0.071,-30.9017,97.8148,-66.9131,-0.026168,0.445503,-0.419335
285,0.07125,-38.2683,99.1445,-60.8761,-0.0652631,0.46194,-0.396677
286,0.0715,-45.399,99.863,-54.4639,-0.103956,0.475528,-0.371572
287,0.07175,-52.2499,99.9657,-47.7159,-0.142008,0.486185,-0.344177
288,0.072,-58.7785,99.4522,-40.6737,-0.179184,0.493844,-0.31466
289,0.07225,-64.9448,98.3255,-33.3807,-0.215256,0.498459,-0.283203
290,0.0725,-70.7107,96.5926,-25.8819,-0.25,0.5,-0.25
291,0.07275,-76.0406,94.2641,-18.2236,-0.283203,0.498459,-0.215256
292,0.073,-80.9017,91.3545,-10.4528,-0.31466,0.493844,-0.179184
293,0.07325,-85.264,87.8817,-2.61769,-0.344177,0.486185,-0.142008
294,0.0735,-89.1007,83.8671,5.2336,-0.371572,0.475528,-0.103956
295,0.07375,-92.388,79.3353,13.0526,-0.396677,0.46194,-0.0652631
296,0.074,-95.1057,74.3145,20.7912,-0.419335,0.445503,-0.026168
297,0.07425,-97.237,68.8355,28.4015,-0.439409,0.42632,0.0130885
298,0.0745,-98.7688,62.932,35.8368,-0.456773,0.404508,0.0522642
299,0.07475,-99.6917,56.6406,43.0511,-0.471321,0.380203,0.0911178
300,0.075,-100,50,50,-0.482963,0.353553,0.12941
301,0.07525,-99.6917,43.0511,56.6406,-0.491627,0.324724,0.166903
302,0.0755,-98.7688,35.8368,62.932,-0.497261,0.293893,0.203368
303,0.07575,-97.237,28.4015,68.8355,-0.499829,0.261249,0.238579
304,0.076,-95.1057,20.7912,74.3145,-0.499315,0.226995,0.27232
