step,time,U1_A,U1_B,U1_C,I1_A,I1_B,I1_C,abs(U1_A),abs(U1_B),abs(U1_C),abs(I1_A),abs(I1_B),abs(I1_C),abs(3U0),abs(3I0),ovcp(1),ovcp(2),zccp(1),zccp(1)
67,0.01675,-52.2499,99.9657,-47.7159,-0.142008,0.486185,0.486185,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
68,0.017,-58.7785,99.4522,-40.6737,-0.179184,0.493844,0.493844,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
69,0.01725,-64.9448,98.3255,-33.3807,-0.215256,0.498459,0.498459,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
70,0.0175,-70.7107,96.5926,-25.8819,-0.25,0.5,0.5,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
71,0.01775,-76.0406,94.2641,-18.2236,-0.283203,0.498459,0.498459,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
72,0.018,-80.9017,91.3545,-10.4528,-0.31466,0.493844,0.493844,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
73,0.01825,-85.264,87.8817,-2.61769,-0.344177,0.486185,0.486185,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
74,0.0185,-89.1007,83.8671,5.2336,-0.371572,0.475528,0.475528,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
75,0.01875,-92.388,79.3353,13.0526,-0.396677,0.46194,0.46194,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
76,0.019,-95.1057,74.3145,20.7912,-0.419335,0.445503,0.445503,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
77,0.01925,-97.237,68.8355,28.4015,-0.439409,0.42632,0.42632,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
78,0.0195,-98.7688,62.932,35.8368,-0.456773,0.404508,0.404508,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
79,0.01975,-99.6917,56.6406,43.0511,-0.471321,0.380203,0.380203,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
80,0.02,-100,50,50,-0.482963,0.353553,0.353553,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
81,0.02025,-99.6917,43.0511,56.6406,-0.491627,0.324724,0.324724,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
82,0.0205,-98.7688,35.8368,62.932,-0.497261,0.293893,0.293893,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
83,0.02075,-97.237,28.4015,68.8355,-0.499829,0.261249,0.261249,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
84,0.021,-95.1057,20.7912,74.3145,-0.499315,0.226995,0.226995,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
85,0.02125,-92.388,13.0526,79.3353,-0.495722,0.191342,0.191342,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
86,0.0215,-89.1007,5.2336,83.8671,-0.489074,0.154508,0.154508,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
87,0.02175,-85.264,-2.61769,87.8817,-0.47941,0.116723,0.116723,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
88,0.022,-80.9017,-10.4528,91.3545,-0.46679,0.0782172,0.0782172,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
89,0.02225,-76.0406,-18.2236,94.2641,-0.451293,0.0392295,0.0392295,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
90,0.0225,-70.7107,-25.8819,96.5926,-0.433013,-2.15921e-15,-2.15921e-15,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
91,0.02275,-64.9448,-33.3807,98.3255,-0.412063,-0.0392295,-0.0392295,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
92,0.023,-58.7785,-40.6737,99.4522,-0.388573,-0.0782172,-0.0782172,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
93,0.02325,-52.2499,-47.7159,99.9657,-0.362687,-0.116723,-0.116723,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
94,0.0235,-45.399,-54.4639,99.863,-0.334565,-0.154508,-0.154508,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
95,0.02375,-38.2683,-60.8761,99.1445,-0.304381,-0.191342,-0.191342,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
96,0.024,-30.9017,-66.9131,97.8148,-0.27232,-0.226995,-0.226995,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
97,0.02425,-23.3445,-72.5374,95.882,-0.238579,-0.261249,-0.261249,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
98,0.0245,-15.6434,-77.7146,93.358,-0.203368,-0.293893,-0.293893,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
99,0.02475,-7.84591,-82.4126,90.2585,-0.166903,-0.324724,-0.324724,100,97.9447,98.0299,0.499172,0.493789,0.5,0.117462,0.0120742,0,0,0,0
100,0.025,4.19596e-13,-86.6025,86.6025,-0.12941,-0.353553,-0.353553,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
101,0.02525,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,-0.380203,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
102,0.0255,15.6434,-93.358,77.7146,-0.0522642,-0.404508,-0.404508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
103,0.02575,23.3445,-95.882,72.5374,-0.0130885,-0.42632,-0.42632,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
104,0.026,30.9017,-97.8148,66.9131,0.026168,-0.445503,-0.445503,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
105,0.02625,38.2683,-99.1445,60.8761,0.0652631,-0.46194,-0.46194,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
106,0.0265,45.399,-99.863,54.4639,0.103956,-0.475528,-0.475528,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
107,0.02675,52.2499,-99.9657,47.7159,0.142008,-0.486185,-0.486185,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
108,0.027,58.7785,-99.4522,40.6737,0.179184,-0.493844,-0.493844,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
109,0.02725,64.9448,-98.3255,33.3807,0.215256,-0.498459,-0.498459,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
110,0.0275,70.7107,-96.5926,25.8819,0.25,-0.5,-0.5,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
111,0.02775,76.0406,-94.2641,18.2236,0.283203,-0.498459,-0.498459,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
112,0.028,80.9017,-91.3545,10.4528,0.31466,-0.493844,-0.493844,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
113,0.02825,85.264,-87.8817,2.61769,0.344177,-0.486185,-0.486185,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
114,0.0285,89.1007,-83.8671,-5.2336,0.371572,-0.475528,-0.475528,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
115,0.02875,92.388,-79.3353,-13.0526,0.396677,-0.46194,-0.46194,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
116,0.029,95.1057,-74.3145,-20.7912,0.419335,-0.445503,-0.445503,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
117,0.02925,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.42632,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
118,0.0295,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.404508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
119,0.02975,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.380203,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
120,0.03,100,-50,-50,0.482963,-0.353553,-0.353553,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
121,0.03025,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.324724,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
122,0.0305,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.293893,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
123,0.03075,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.261249,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
124,0.031,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.226995,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
